Area,Price,Room,Room_Area,Lon,Lat
165,1275000.0,5,33.0,4.882122,52.366395
48,439000.0,2,24.0,4.917931,52.367418
95,785000.0,5,19.0,4.861607,52.367915
68,395000.0,3,22.666666666666668,4.920126,52.388122
78,595000.0,3,26.0,4.893924,52.379828
117,875000.0,3,39.0,4.906839,52.371272
29,295000.0,2,14.5,4.887596,52.367946
80,520000.0,2,40.0,4.872336,52.33033
57,439000.0,3,19.0,4.862129,52.347398
66,410000.0,4,16.5,4.920472,52.357987
45,350000.0,2,22.5,4.873726,52.382654
120,835000.0,5,24.0,4.88447,52.382635
111,985000.0,5,22.2,4.890089,52.371683
56,425000.0,2,28.0,4.943696,52.338795
58,635000.0,3,19.333333333333332,4.907085,52.372907
151,999500.0,3,50.333333333333336,4.907627,52.376281
151,1050000.0,4,37.75,4.880571,52.362038
60,225000.0,3,20.0,4.790457,52.35459
165,1099000.0,5,33.0,4.875455,52.347348
103,895000.0,3,34.333333333333336,4.885645,52.35602
146,799000.0,5,29.2,4.858845,52.343402
129,719000.0,4,32.25,4.802093,52.343737
37,285000.0,2,18.5,4.807805,52.344914
37,285000.0,2,18.5,4.807805,52.344914
111,900000.0,2,55.5,4.887092,52.376105
93,475000.0,3,31.0,5.009767,52.349453
110,545000.0,4,27.5,4.789083,52.379219
94,685000.0,3,31.333333333333332,4.873591,52.374016
81,650000.0,3,27.0,4.897432,52.366729
207,1100011.0,5,41.4,4.90048,52.400948
81,1200000.0,3,27.0,4.858004,52.3574
214,1495000.0,5,42.8,5.029122,52.41355
47,295000.0,2,23.5,4.860857,52.380834
117,1000000.0,4,29.25,4.892522,52.367449
162,1150000.0,5,32.4,4.890591,52.375342
173,1350000.0,5,34.6,4.887183,52.355065
90,469000.0,3,30.0,4.903526,52.374705
107,669000.0,5,21.4,4.89278,52.420465
71,300000.0,2,35.5,4.976454,52.306326
49,425000.0,2,24.5,4.852468,52.380663
150,749000.0,5,30.0,4.90981909560303,52.3686532505277
30,389000.0,2,15.0,4.906059,52.374085
85,275000.0,4,21.25,4.943931,52.321174
79,400000.0,3,26.333333333333332,4.826718,52.343893
110,850000.0,2,55.0,4.936223,52.360906
203,1700000.0,5,40.6,4.869966,52.349904
91,549000.0,5,18.2,4.943456,52.376191
115,1375000.0,3,38.333333333333336,4.881814,52.361226
72,500000.0,2,36.0,4.887619,52.381092
183,575000.0,5,36.6,4.881542,52.41986
183,2475000.0,3,61.0,4.897473,52.358943
257,1425000.0,4,64.25,4.905372,52.373727
117,1695000.0,3,39.0,4.876144,52.358928
130,515000.0,4,32.5,4.7836987,52.3496214
134,1095000.0,3,44.666666666666664,4.872859,52.335851
120,519900.0,5,24.0,4.937065,52.400905
88,700000.0,5,17.6,4.902826,52.363883
93,280000.0,4,23.25,4.95868,52.309724
129,600000.0,4,32.25,4.905853,52.369804
120,849000.0,3,40.0,4.893709,52.375387
374,3680000.0,4,93.5,4.905695,52.385321
114,750750.0,4,28.5,4.902864,52.349279
128,899000.0,5,25.6,4.960756,52.409584
95,895000.0,3,31.666666666666668,4.960756,52.409584
131,1085000.0,5,26.2,4.876231,52.347558
30,300000.0,3,10.0,4.832087,52.354406
82,649000.0,3,27.333333333333332,4.910725,52.370289
105,785000.0,5,21.0,4.910725,52.370289
94,565000.0,3,31.333333333333332,4.825673,52.361323
133,1395000.0,3,44.333333333333336,4.898884,52.418864
102,795000.0,3,34.0,4.884579,52.364626
121,1200000.0,4,30.25,4.881097,52.368746
146,995000.0,3,48.666666666666664,4.895233,52.365084
127,775000.0,3,42.333333333333336,4.895121,52.361947
148,825000.0,3,49.333333333333336,4.895224,52.361929
258,1249000.0,5,51.6,4.967897,52.410672
100,380000.0,4,25.0,4.80256,52.380679
120,450000.0,5,24.0,4.956167,52.317822
66,399000.0,2,33.0,4.923315,52.379524
102,650000.0,3,34.0,4.877436,52.375551
139,1599000.0,5,27.8,4.868596,52.361672
127,629000.0,4,31.75,4.794478,52.338652
69,359000.0,4,17.25,4.965813,52.381514
75,419000.0,4,18.75,4.952089,52.36658
60,250000.0,3,20.0,4.945909,52.320409
104,320000.0,5,20.8,4.976237,52.296421
115,415000.0,4,28.75,4.961952,52.321743
124,750000.0,5,24.8,4.918831,52.363292
73,420000.0,3,24.333333333333332,4.859128,52.327841
63,525000.0,3,21.0,4.892914,52.384794
107,550000.0,4,26.75,4.997979,52.354825
60,450000.0,4,15.0,4.928173,52.355788
54,425000.0,3,18.0,4.861234,52.346145
95,675000.0,3,31.666666666666668,4.906809,52.353645
150,1150000.0,5,30.0,4.853623,52.360284
131,1250000.0,4,32.75,4.878356,52.394101
158,1450000.0,4,39.5,4.878463,52.394178
80,345000.0,3,26.666666666666668,4.795934,52.350007
56,425000.0,3,18.666666666666668,4.880816,52.37278
60,250000.0,2,30.0,4.947171,52.325081
59,485000.0,3,19.666666666666668,4.925675,52.358255
166,1200000.0,5,33.2,4.872275,52.362146
71,325000.0,4,17.75,4.827036,52.353376
39,275000.0,2,19.5,4.839165,52.37701
78,365000.0,3,26.0,4.886519,52.331919
84,300000.0,4,21.0,4.991578,52.293948
67,485000.0,3,22.333333333333332,4.874335,52.379574
87,725000.0,4,21.75,4.881073,52.382434
87,325000.0,3,29.0,4.788052,52.349876
61,225000.0,3,20.333333333333332,4.945309,52.319741
100,690000.0,3,33.333333333333336,4.881116,52.393955
114,825000.0,3,38.0,4.866454,52.362822
53,239000.0,3,17.666666666666668,4.977675,52.324231
49,400000.0,2,24.5,4.872222,52.366766
58,430000.0,3,19.333333333333332,4.849307,52.35303
65,485000.0,3,21.666666666666668,4.940682,52.349698
44,300000.0,2,22.0,4.85225,52.367037
61,550000.0,3,20.333333333333332,4.884848,52.352502
41,325000.0,2,20.5,4.867459,52.375562
29,250000.0,2,14.5,4.872989,52.366428
109,675000.0,3,36.333333333333336,4.8479,52.372221
91,295000.0,4,22.75,4.795401,52.348468
92,350000.0,3,30.666666666666668,4.954434,52.393227
98,375000.0,5,19.6,4.990488,52.292974
53,360000.0,2,26.5,4.860817,52.380045
85,325000.0,4,21.25,4.901357,52.419916
61,250000.0,2,30.5,4.812509,52.383676
102,550000.0,3,34.0,4.945592,52.362164
76,325000.0,3,25.333333333333332,4.910084,52.406722
26,235000.0,2,13.0,4.944758,52.36173
56,450000.0,2,28.0,4.904866,52.354123
71,245000.0,3,23.666666666666668,4.98042,52.299114
153,1400000.0,4,38.25,4.875155,52.346664
90,650000.0,3,30.0,4.900901,52.386904
67,465000.0,3,22.333333333333332,4.846172,52.351371
104,735000.0,3,34.666666666666664,4.87459,52.347318
93,675000.0,4,23.25,4.902853,52.358348
78,425000.0,2,39.0,4.837463,52.376658
90,635000.0,3,30.0,4.891367,52.389872
99,375000.0,4,24.75,4.981355,52.320364
35,300000.0,2,17.5,4.888159,52.351789
136,910000.0,5,27.2,4.888188,52.3492
65,385000.0,3,21.666666666666668,4.87989,52.331729
93,775000.0,3,31.0,4.875949,52.366908
51,349500.0,3,17.0,4.941752,52.339554
65,375000.0,3,21.666666666666668,4.852493,52.377329
41,325000.0,2,20.5,4.871342,52.383093
89,295000.0,4,22.25,4.945355,52.323983
50,345000.0,2,25.0,4.849011,52.384683
88,325000.0,3,29.333333333333332,4.809676,52.361641
73,245000.0,3,24.333333333333332,4.98366,52.294299
70,650000.0,3,23.333333333333332,4.892242,52.354197
56,450000.0,4,14.0,4.850735,52.370868
176,525000.0,5,35.2,4.986145,52.316165
81,315000.0,3,27.0,4.80824,52.357393
83,500000.0,4,20.75,4.917034,52.395677
36,285000.0,2,18.0,4.887419,52.388788
116,600000.0,4,29.0,4.895989,52.373751
67,425000.0,3,22.333333333333332,4.881551,52.376576
53,225000.0,3,17.666666666666668,4.974337,52.324304
59,440000.0,3,19.666666666666668,4.85128,52.359788
85,450000.0,3,28.333333333333332,4.937516,52.370995
75,425000.0,3,25.0,4.8814,52.388529
60,230000.0,2,30.0,4.942778,52.320576
69,395000.0,3,23.0,4.927419,52.369015
93,550000.0,3,31.0,4.948159,52.377174
93,350000.0,3,31.0,4.960086,52.318673
92,335000.0,4,23.0,4.936689,52.394567
92,300000.0,4,23.0,4.922975,52.410584
84,270000.0,3,28.0,4.976048,52.29785
136,675000.0,5,27.2,4.933513,52.407695
73,450000.0,3,24.333333333333332,4.869487,52.378402
53,450000.0,2,26.5,4.90355,52.353704
101,549000.0,4,25.25,4.907913,52.388684
58,265000.0,3,19.333333333333332,4.946436,52.326171
42,395000.0,2,21.0,4.880279,52.369659
42,275000.0,2,21.0,4.916345,52.383109
61,400000.0,2,30.5,4.858697,52.370661
55,450000.0,2,27.5,4.925792,52.344742
63,395000.0,2,31.5,4.890125,52.371498
61,335000.0,2,30.5,4.881952,52.389025
82,425000.0,3,27.333333333333332,4.925735,52.364335
35,325000.0,2,17.5,4.868498,52.381319
76,590000.0,4,19.0,4.851989,52.381995
48,345000.0,2,24.0,4.880745,52.388005
61,398011.0,3,20.333333333333332,4.892619,52.413849
128,900000.0,4,32.0,4.921707,52.366234
78,400000.0,3,26.0,4.832758,52.384105
100,825000.0,3,33.333333333333336,4.875925,52.347368
69,415000.0,3,23.0,4.964407,52.373057
91,685000.0,4,22.75,4.904866,52.354123
77,610000.0,4,19.25,4.854361,52.368574
59,295000.0,3,19.666666666666668,4.946534,52.394352
47,339000.0,2,23.5,4.926678,52.36264
78,310000.0,3,26.0,4.806801,52.364911
49,335000.0,2,24.5,4.934237,52.364224
64,275000.0,2,32.0,4.832681,52.372996
69,425000.0,4,17.25,4.851176,52.383021
54,225000.0,2,27.0,4.975727,52.326205
41,300000.0,2,20.5,4.867456,52.375584
68,350000.0,3,22.666666666666668,4.829034,52.36373
106,475000.0,5,21.2,4.784425,52.345886
91,510000.0,3,30.333333333333332,4.909786,52.401616
60,225000.0,2,30.0,4.946485,52.319485
61,545000.0,2,30.5,4.907725,52.365333
66,550000.0,2,33.0,4.895062,52.361956
43,225000.0,2,21.5,4.943668,52.317544
83,320000.0,3,27.666666666666668,4.988144,52.299293
49,360000.0,3,16.333333333333332,4.854243,52.379548
113,475000.0,4,28.25,4.916194,52.382138
62,425000.0,3,20.666666666666668,4.848229,52.375341
81,395000.0,3,27.0,4.878726,52.325783
71,265000.0,3,23.666666666666668,4.943523,52.319589
53,230000.0,2,26.5,4.944301,52.320816
116,750000.0,4,29.0,4.913949,52.392914
122,1000000.0,5,24.4,4.860517,52.358293
112,825000.0,5,22.4,4.898909,52.353937
67,425000.0,2,33.5,4.877222,52.344263
56,369000.0,2,28.0,4.934903,52.360041
46,300000.0,3,15.333333333333334,4.920288,52.353214
59,300000.0,3,19.666666666666668,4.830106,52.363717
120,600000.0,4,30.0,4.966154,52.375408
65,300000.0,3,21.666666666666668,4.951253,52.394145
54,415000.0,2,27.0,4.862373,52.345315
77,325000.0,4,19.25,4.95118,52.394073
117,775000.0,4,29.25,4.93174,52.391546
102,650000.0,4,25.5,4.922217,52.355442
108,600000.0,4,27.0,4.967326,52.371556
46,325000.0,2,23.0,4.873501,52.377961
49,385000.0,3,16.333333333333332,4.938408,52.365552
96,875000.0,5,19.2,4.884002,52.367652
52,500000.0,2,26.0,4.881809,52.379633
120,900000.0,5,24.0,4.948739,52.386865
83,350000.0,3,27.666666666666668,4.920989,52.403808
118,350000.0,5,23.6,4.978704,52.305543
62,450000.0,2,31.0,4.847484,52.350909
88,325000.0,4,22.0,4.806863,52.362205
27,200000.0,2,13.5,4.818173,52.38178
80,575000.0,3,26.666666666666668,4.860112,52.372671
81,325000.0,3,27.0,4.81015,52.353861
47,400000.0,2,23.5,4.90153,52.355844
59,365000.0,2,29.5,4.944414,52.368343
88,350000.0,3,29.333333333333332,4.800286,52.380052
73,300000.0,4,18.25,4.827023,52.354418
90,375000.0,4,22.5,4.992035,52.316742
61,415000.0,3,20.333333333333332,4.914021,52.358618
65,300000.0,4,16.25,4.831964,52.371338
75,625000.0,3,25.0,4.863344,52.370007
102,315000.0,5,20.4,4.983162,52.294189
44,325000.0,2,22.0,4.873179,52.377933
46,370000.0,2,23.0,4.865067,52.369611
43,298000.0,2,21.5,4.920012,52.386342
56,375000.0,3,18.666666666666668,4.933659,52.364743
81,325000.0,3,27.0,4.819431,52.382253
42,325000.0,2,21.0,4.940171,52.364934
54,375000.0,2,27.0,4.870127,52.372608
46,295000.0,2,23.0,4.837695,52.383556
44,375000.0,2,22.0,4.884769,52.384121
65,295000.0,4,16.25,4.798255,52.378644
48,275000.0,2,24.0,5.014044,52.350961
47,345000.0,2,23.5,4.899374,52.347656
82,500000.0,3,27.333333333333332,4.846047,52.37786
58,390000.0,2,29.0,4.853953,52.365813
58,400000.0,2,29.0,4.928824,52.363772
70,250000.0,3,23.333333333333332,4.9685,52.316374
72,625000.0,4,18.0,4.899724,52.355854
97,550000.0,3,32.333333333333336,4.996295,52.359277
87,585000.0,3,29.0,4.941549,52.377347
85,300000.0,3,28.333333333333332,4.945566,52.403049
45,300000.0,2,22.5,4.870505,52.372951
73,275000.0,2,36.5,4.983209,52.29383
69,525000.0,3,23.0,4.892282,52.384356
88,725000.0,4,22.0,4.855145,52.361963
48,350000.0,2,24.0,4.884769,52.384121
57,275000.0,2,28.5,4.803983,52.355143
97,450000.0,4,24.25,4.802374,52.342435
47,325000.0,3,15.666666666666666,4.852015,52.364636
48,425000.0,2,24.0,4.881348,52.380215
44,300000.0,2,22.0,4.859323,52.324179
108,330000.0,5,21.6,4.971123,52.297841
43,215000.0,2,21.5,4.945155,52.324953
88,695000.0,3,29.333333333333332,4.874092,52.367502
108,750000.0,3,36.0,4.915967,52.368943
79,400000.0,3,26.333333333333332,5.009082,52.351935
82,585000.0,3,27.333333333333332,4.872665,52.374093
44,395000.0,2,22.0,4.907275,52.358042
84,250000.0,3,28.0,4.951827,52.399557
103,725000.0,3,34.333333333333336,4.857291,52.370304
92,275000.0,4,23.0,4.795583,52.348505
107,700000.0,3,35.666666666666664,4.908421,52.364761
83,260000.0,4,20.75,4.969802,52.316702
83,275000.0,3,27.666666666666668,4.9688878,52.2923239
75,535000.0,4,18.75,4.861328,52.372929
94,465000.0,4,23.5,4.838028,52.377317
62,490000.0,3,20.666666666666668,4.87487,52.363758
69,375000.0,4,17.25,4.799561,52.37431
58,425000.0,3,19.333333333333332,4.852231,52.361321
109,265000.0,5,21.8,4.976731,52.325525
58,425000.0,3,19.333333333333332,4.858639,52.369339
122,525000.0,5,24.4,4.950277,52.396263
77,625000.0,4,19.25,4.846204,52.349933
77,380000.0,4,19.25,4.795007,52.375474
41,350000.0,2,20.5,4.863282,52.363713
70,325000.0,4,17.5,4.830209,52.363691
74,550000.0,2,37.0,4.874332,52.369651
85,300000.0,4,21.25,4.947646,52.402266
50,245000.0,2,25.0,4.883861,52.417569
53,395000.0,3,17.666666666666668,4.851991,52.365663
40,365000.0,2,20.0,4.887941,52.35683
89,698000.0,5,17.8,4.894517,52.351528
80,375000.0,4,20.0,4.840015,52.363904
88,375000.0,3,29.333333333333332,4.806525,52.359424
71,425000.0,3,23.666666666666668,4.855635,52.37986
89,730000.0,3,29.666666666666668,4.88956,52.345979
48,325000.0,4,12.0,4.849943,52.384166
78,275000.0,3,26.0,4.972526,52.321871
67,535000.0,2,33.5,4.894107,52.363363
57,375000.0,3,19.0,4.850695,52.383963
126,775000.0,5,25.2,4.932925,52.358206
78,375000.0,3,26.0,4.814789,52.382249
54,400000.0,3,18.0,4.849224,52.350198
40,300000.0,2,20.0,4.91803,52.357424
104,375000.0,3,34.666666666666664,4.983057,52.318698
91,295000.0,3,30.333333333333332,4.981371,52.313749
57,345000.0,2,28.5,4.878162,52.325097
71,260000.0,3,23.666666666666668,4.967708,52.317064
56,225000.0,2,28.0,4.992412,52.295757
50,425000.0,2,25.0,4.852084,52.366236
90,475000.0,3,30.0,4.996258,52.358696
108,425000.0,3,36.0,4.808883,52.363274
121,1170000.0,2,60.5,4.883377,52.373492
69,520000.0,3,23.0,4.923063,52.35637
68,350000.0,4,17.0,4.829524,52.363328
108,289500.0,5,21.6,4.974531,52.325473
127,480000.0,5,25.4,4.80722,52.344454
84,325000.0,4,21.0,4.917985,52.405783
57,250000.0,2,28.5,4.803968,52.355143
87,350000.0,3,29.0,4.802688,52.382381
110,600000.0,4,27.5,4.981387,52.360243
87,350000.0,3,29.0,4.954462,52.393215
70,525000.0,3,23.333333333333332,4.901743,52.355153
89,500000.0,3,29.666666666666668,4.947119,52.376909
106,700000.0,3,35.333333333333336,4.922868,52.371793
90,300000.0,4,22.5,4.984519,52.299712
78,365000.0,4,19.5,4.829607,52.372067
107,604447.4074074074,3,35.666666666666664,4.945022,52.369244
84,375000.0,4,21.0,4.7958,52.38318
74,425000.0,3,24.666666666666668,4.878057,52.385387
109,469000.0,3,36.333333333333336,4.891949,52.423805
44,325000.0,3,14.666666666666666,4.889549,52.361331
90,550000.0,3,30.0,4.930426,52.371197
50,385000.0,2,25.0,4.870167,52.384355
43,325000.0,2,21.5,4.859637,52.375563
73,465000.0,4,18.25,4.918062,52.387403
67,300000.0,3,22.333333333333332,4.783188,52.350225
84,250000.0,3,28.0,4.952138,52.400571
64,500000.0,3,21.333333333333332,4.854288,52.359955
108,875000.0,4,27.0,4.655161,52.376552
62,399000.0,2,31.0,4.853523,52.356392
145,925000.0,4,36.25,4.933939,52.374739
123,875000.0,4,30.75,4.894206,52.33822
123,930000.0,4,30.75,4.894206,52.33822
101,725000.0,4,25.25,4.931075,52.369038
119,575000.0,3,39.666666666666664,4.845779,52.37755
132,600000.0,4,33.0,5.00033,52.35282
72,265000.0,3,24.0,4.9684,52.317292
46,350000.0,3,15.333333333333334,4.873501,52.377961
78,340000.0,3,26.0,4.829629,52.372955
58,350000.0,3,19.333333333333332,4.84314,52.378753
56,430000.0,2,28.0,4.917761,52.356215
180,975000.0,5,36.0,4.900779,52.408945
84,500000.0,3,28.0,4.913659,52.343221
89,645000.0,3,29.666666666666668,4.921169,52.364353
49,425000.0,3,16.333333333333332,4.901398,52.355807
149,1090000.0,3,49.666666666666664,4.890751,52.349678
104,465000.0,3,34.666666666666664,4.918343,52.405579
79,700000.0,3,26.333333333333332,4.911378,52.342112
55,325000.0,2,27.5,4.865786,52.328459
107,695000.0,4,26.75,4.934082,52.371077
97,825000.0,4,24.25,4.902906,52.35753
